iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
112,185.45077062146072,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
113,183.86093042284145,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
114,185.15803407028056,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
115,188.27578442137113,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
116,175.74983379137524,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
117,179.6733731074405,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
118,180.26559088778936,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
119,176.5369503011229,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
120,181.10300917337466,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
121,184.73644643184326,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
122,179.7022567263838,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
123,185.40486284206244,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
124,182.9190691200495,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
125,180.6247106654524,175.74983379137524,115,263,0.07634034423402938,0.6824524717963455,7,13.868365914306658,136,0.15873241446425368,14,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
126,174.59594212150012,174.59594212150012,125,454,0.06488134450639806,0.39826867407882144,6,13.951799466349298,138,0.25585629920086156,20,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
127,177.58517920183098,174.59594212150012,125,454,0.06488134450639806,0.39826867407882144,6,13.951799466349298,138,0.25585629920086156,20,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
128,177.44680489817762,174.59594212150012,125,454,0.06488134450639806,0.39826867407882144,6,13.951799466349298,138,0.25585629920086156,20,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
129,176.11995883133605,174.59594212150012,125,454,0.06488134450639806,0.39826867407882144,6,13.951799466349298,138,0.25585629920086156,20,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
