iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
89,214.28973452129856,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
90,186.9196043094772,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
91,196.6226083890579,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
92,180.4145536769469,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
93,179.54829045528527,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
94,178.13777913315525,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
95,190.7857637332374,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
96,177.96782989362018,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
97,185.3219511886703,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
98,212.8743594001055,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
99,252.1509695695104,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
100,179.39076561387137,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
101,184.27280513388018,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
102,178.27113077511333,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
103,183.7498962515636,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
104,178.99830934496006,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
105,197.8494904524182,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
106,195.73605843467826,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
107,178.88556220205794,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
108,204.76600882018323,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
